Hindi,English
???? (b?rah),Twelve (b?rah)
???????? (phalasvar?p),Consequently (phalasvar?p)
??? (k??),Cut (k??)
?????? (adhiktar),Most (adhiktar)
????????? (sv?bh?vik),Naturally (sv?bh?vik)
????? (v?kya),Sentences (v?kya)
???? (bai?h?),Sitting (bai?h?)
???????????? (paristhitiyõ),Conditions (paristhitiyõ)
????? (s?rya),Sun (s?rya)
????? (?atru),Enemy (?atru)
???????? (pattiyõ),Leaves (pattiyõ)
?????? (niyojan),Planning (niyojan)
?????? (granth),Book (Granth)
??? (kah?),Said (kah?)
???? (umra),Age (umra)
????? (agni),Fire (agni)
??? (sikh),Sikh (Sikh)
??? (b?p),Father (b?p)
????????? (p?kist?n),Pakistan (p?kist?n)
??????? (pa?c?t),After (pa?c?t)
?????? (cint?),Anxiety (cint?)
?????? (?yojit),Held (?yojit)
???? (yah??),Here (yah?)
??????? (v?dyõ),Instruments (v?dyõ)
??????? (musalm?n),Muslims (musalm?n)
??? (bhej),Send (bhej)
???? (bai?k),Bank (bai?k)
???? (n?r?),Woman (n?r?)
????? (antim),Last (Antim)
?????? (samudra),Ocean (Samudra)
?????? (sa?grah),Collection (sa?grah)
???? (let?),Picks (let?)
????? (d??ya),View (d??ya)
??? (kh?d),Composting (kh?d)
?????? (?locn?),Criticism (?locn?)
?????? (haik?ar),Ha (haik?ar)
?????? (virodh?),Anti (virodh?)
??????? (pa?cim?),Western (pa?cim?)
??? (dh?n),Paddy (dh?n)
??? (??k),Post (??k)
??? (kadam),Step (Kadam)
???? (?k??),Sky (?k??)
?????? (sth?y?),Standing (sth?y?)
????? (vitra?),Distribution (vitra?)
??? (van?),Dynasty (van?)
??? (rok),Stop (rok)
??????? (prer??),Inspiration (prer??)
???? (c?n?),Chinese (c?n?)
??? (aurat),Woman (aurat)
?????? (aprail),April (aprail)
???????? (aniv?rya),Essentials (aniv?rya)
???? (sak?),Can (sak?)
????? (mahil?),Women (mahil?)
????? (pahc?n),Identity (pahc?n)
?????? (kram?a?),Respectively (kram?a?)
????? (sainik),Soldier (Sainik)
??? (vajah),Because (vajah)
????? (lak??),Wood (lak??)
????? (rupye),Rs (rupye)
???? (ba?h?),Increase (ba?h?)
??? (p??h),Back (p??h)
??? (p??),Pie (p??)
?????? (??k?ar),Doctor (??k?ar)
??????? (sampark),Contact (sampark)
??? (v??),Th (v?)
?????? (m?nn?ya),Honorable (m?nn?ya)
????????? (m?ly??kan),Evaluation (m?ly?kan)
??? (g?y),Cow (g?y)
???? (k?a?),Moment (k?a?)
???? (h?lat),Condition (h?lat)
?????? (sandarbh),Reference (sandarbh)
??? (b?s),Twenty (b?s)
??? (do?),Fault (do?)
??? (j?v),Creatures (j?v)
??????? (citrit),Painted (citrit)
??? (kh?n),Khan (kh?n)
???? (khu??),Happiness (khu??)
?????? (rojg?r),Employment (rojg?r)
??????? (ripor?),Report (ripor?)
???????? (mantr?lay),Ministry (mantr?lay)
???????? (pr?thmik),Primary (pr?thmik)
????????? (pradar?it),Display (pradar?it)
????? (dh?r??),Assumption (dh?r??)
??? (t?l),Cadence (t?l)
???? (ja?gal),Forest (ja?gal)
??? (sak?),Could (sak?)
??? (y?n),Yan (y?n)
?????? (upakram),Enterprise (upakram)
????? (a?kit),Face (a?kit)
??? (?iv),Shiva (?iv)
????? (ty?g),Disclaimer (ty?g)
????? (jisne),Which (jisne)
??? (garam),Hot (Garam)
?????? (sam?c?r),News (sam?c?r)
???? (??kh?),Branch (??kh?)
???? (bur?),Bad (bur?)
???? (??l?),Put (??l?)
??? (j?n),June (j?n)
????? (gy?t),Known (gy?t)
???? (garbh),Pregnancy (garbh)
??????????? (karmac?riyõ),Employees (karmac?riyõ)
?????? (m?mlõ),Cases (m?mlõ)
???? (baj?y),Instead (baj?y)
????? (tar?ke),Methods (tar?ke)
????? (?dar?),Model (?dar?)
?????? (hiss?),Share (hiss?)
?????? (sãracn?),Structure (sãracn?)
?????? (spar?),Touch (spar?)
????? (janavr?),January (janavr?)
???????? (citrakl?),Painting (citrakl?)
?????? (caritra),Character (caritra)
????????? (k?etr?ya),Regional (k?etr?ya)
???? (ky?),Q (ky?)
???? (rakht?),Puts (rakht?)
?????? (bikr?),Sale (bikr?)
???????? (pustakõ),Books (pustakõ)
??????? (nirmit),Created (nirmit)
??? (jain),Jain (Jain)
??? (gale),Throat (gale)
???? (gr?),G (gr?)
???? (khar?b),Poor (khar?b)
??? (karo),Women (Karo)
????? (kak??),Class (kak??)
??????? (??carya),Surprise (??carya)
?????? (r?st?),Way (r?st?)
????? (yukt),Containing (yukt)
???? (ban?e),Maintain (ban?e)
???? (be??),Son (be??)
???? (be?e),Son (be?e)
??????? (prabandh),Management (prabandh)
?????????? (nimnalikhit),Following (nimnalikhit)
????? (cehr?),Face (cehr?)
?????? (arjun),Arjun (Arjun)
?????? (samm?n),Respect (samm?n)
?????? (yath?rth),Reality (yath?rth)
??? (bah?),Daughter (bah?)
???????? (dhvaniyõ),Sounds (dhvaniyõ)
????????? (jinhonne),Who (jinhonne)
???? (ch?y?),Shadow (ch?y?)
??? (khabar),News (khabar)
???? (sa?ka?),Crisis (sa?ka?)
???? (be??),Daughter (be??)
????? (pa?uõ),Animals (pa?uõ)
??? (ati),ATI (ati)
????? (samajht?),Considers (samajht?)
????? (rokne),Stop (rokne)
????? (bhakti),Devotion (bhakti)
??? (da??),Condition (da??)
???? (calt?),Moving (calt?)
??? (gh?s),Grass (gh?s)
??? (kathan),Statement (Kathan)
????? (s?m?n),Accessories (s?m?n)
?????? (majd?r?),Wages (majd?r?)
??? (bhar?),Filled (bhar?)
?????? (bilkul),All (Bilkul)
?????? (d?srõ),Others (d?srõ)
???? (gar?b),Poor (gar?b)
???????? (astitva),Survival (astitva)
????? (akele),Solo (akele)
???????? (saundarya),Beauty (saundarya)
????? (s?hs?),Courageous (s?hs?)
????? (samajhte),Understand (samajhte)
??????? (vidyut),Power (vidyut)
???? (likh?),Written (likh?)
???? (n??ak),Drama (n??ak)
??? (dh?p),Sunshine (dh?p)
?????? (darv?je),Doors (darv?je)
????? (kamjor),Weak (kamjor)
??? (?dat),Habit (?dat)
????????? (samprad?y),Creed (samprad?y)
??? (?odh),Research (?odh)
??? (v?r),Veer (v?r)
????? (rupy?),Rupee (rupy?)
??? (maut),Death (maut)
??? (bhale),Even (bhale)
??????? (prasanna),Delight (Prasanna)
???? (nij?),Private (nij?)
??????? (j?tiyõ),Nations (j?tiyõ)
????? (g?tõ),Songs (g?tõ)
??? (k??),Pest (k??)
???? (utn?),As (utn?)
?????? (abhy?s),Practice (abhy?s)
????? (ra?gõ),Colors (ra?gõ)
??????? (m?nyat?),Recognition (m?nyat?)
????? (majb?t),Strong (majb?t)
???? (bh??),Rush (bh??)
?????? (niymõ),Rules (niymõ)
???? (u?ht?),Arises (u?ht?)
????? (?nand),Joy (?nand)
??? (vi?),Venom (vi?)
??? (pra),Q. (pra)
???? (tam?m),All (tam?m)
????? (cinha),Sign (cinha)
????? (sthir),Stable (sthir)
???? (?ar?b),Alcohol (?ar?b)
??????????? (vaigy?nikõ),Scientists (vaigy?nikõ)
?????? (pahuñc?),Reached (pahuñc?)
?????? (niymit),Regular (niymit)
???? (nav?n),New (nav?n)
???? (gahr?),Deep (gahr?)
????? (??m?),Heat (??m?)
????? (uttam),Best (Uttam)
??????? (??stra),Science (??stra)
??? (m?h),Month (m?h)
????? (m?lik),Owner (m?lik)
??? (bhal?),Good (bhal?)
??? (bhare),Filled (bhare)
???? (ban??),Created (ban??)
????? (gar?b?),Poverty (gar?b?)
??????? (?ndolan),Movement (?ndolan)
?????? (vidy?),Lore (vidy?)
????????? (p?riv?rik),Family (p?riv?rik)
???? (to?),Break (to?)
????? (c?j?),Things (c?j?)
???? (ka?hor),Rigid (ka?hor)
?????? (anup?t),Ratio (anup?t)
??????? (hariy???),Haryana (hariy???)
??????? (sampanna),Perform (sampanna)
????? (vidh?n),Legislation (vidh?n)
??? (r?y),Comments (r?y)
?????? (turant),Instantly (turant)
??? (?pas),Interconnect (?pas)
???? (adh?n),Subject (adh?n)
?????? (?ik?ak),Teacher (?ik?ak)
???? (vijay),Vijay (Vijay)
??? (lekh),Article (Lekh)
????? (mahoday),Sir (mahoday)
?? (bh?),Also (bh?)
????? (pharavr?),February (pharavr?)
????? (pitt),Gall (Pitt)
????????? (pratyak?),Direct (pratyak?)
???? (tark),Logic (Tark)
??? (jel),Gel (jel)
?????? (cupc?p),Quietly (cupc?p)
??? (kar?),Make (kar?)
?????? (anuk?l),Friendly (anuk?l)
?????? (vi??u),Vishnu (vi??u)
??? (yõ),S (yõ)
??? (bh?kh),Hunger (bh?kh)
???? (b?ns),Bamboo (b?ns)
???? (bant?),Becoming (bant?)
???? (bankar),As (bankar)
????? (bai?hkar),Sitting (bai?hkar)
????? (p?tra),Eligible (p?tra)
?????? (p?rv?),Eastern (p?rv?)
?????? (ka?hin??),Difficulty (ka?hin??)
??????? (ity?di),Etc. (ity?di)
??????? (sadasyõ),Members (sadasyõ)
????? (m?tra),Urine (m?tra)
??? (bhar?),Full (bhar?)
???? (bur?),Bad (bur?)
????? (gho???),Announcement (gho???)
??? (khol),Shell (khol)
??? (khu?),Happy (khu?)
????? (khetõ),Farms (khetõ)
??? (ko?),Thesaurus (ko?)
??????? (upasthit),Present (upasthit)
?????????? (abhivyakti),Expression (abhivyakti)
??????? (?re??h),Best (?re??h)
??? (n?g),Snake (n?g)
??? (n?k),Nose (n?k)
???? (j?t?),Is (j?t?)
??? (ch??),Discounts (ch??)
???? (gharõ),Houses (gharõ)
??? (kh?n),Blood (kh?n)
????? (kareg?),Will (kareg?)
???? (ut?r),UPS (ut?r)
????? (apr?dh),Crime (apr?dh)
??????? (adhiniyam),Act (adhiniyam)
???? (s?has),Courage (s?has)
????????? (sarvapratham),First (sarvapratham)
????? (pa?h??),Studies (pa?h??)
?????? (dikh?y?),See (dikh?y?)
??? (dukh),Suffering (Dukh)
????? (agast),August (agast)
???? (s?th?),Buddies (s?th?)
?????? (sakriy),Active (sakriy)
????? (pa?hne),Reading (pa?hne)
??? (pa?h),Read (pa?h)
???? (c?l?),Current (c?l?)
??? (?dh?),Half (?dh?)
???????? (samitiyõ),Committees (samitiyõ)
???? (s?c?),List (s?c?)
?????? (vivecan),Considerations (vivecan)
?????????? (manovigy?n),Psychology (manovigy?n)
?????? (pahuñce),Arrived (pahuñce)
???????? (pustak?),Books (pustak?)
?????? (ki?or?),Teenager (ki?or?)
?????? (isp?t),Steel (isp?t)
????? (s?mn?),Facing (s?mn?)
???????? (vy?khy?),Interpretation (vy?khy?)
??? (phu?),Ft (phu?)
????? (dim?g),Brain (dim?g)
???????? (karmac?r?),Employees (karmac?r?)
??? (asar),Effect (asar)
???? (aphsar),Officer (aphsar)
??? (satah),Surface (satah)
??????? (vicitra),Bizarre (vicitra)
??? (bail),Bullock (bail)
??? (tahat),Under (tahat)
????????? (kendrõ),Centers (kendrõ)
???? (amla),Acid (amla)
??????? (sãrak?a?),Protection (sãrak?a?)
????? (sunne),Audio (Sunne)
???? (v???),Oracle (v???)
???? (lohe),Iron (Lohe)
????? (yantra),Instrument (yantra)
??????????? (bh???vigy?n),Linguistics (bh???vigy?n)
????? (bolne),Speaking (bolne)
??? (bodh),Perception (bodh)
??????? (prak??an),Publishing (prak??an)
???? (d?d?),Grandpa (d?d?)
??? (???),Broken (???)
??? (carak),Charak (carak)
???? (kh?te),Account (kh?te)
??? (k?n),Cannes (k?n)
???????? (udyogõ),Industries (udyogõ)
?????? (?krama?),Invasion (?krama?)
????????? (a?grejõ),British (a?grejõ)
??????? (sambh?vn?),Chance (sambh?vn?)
??? (yath?),As (yath?)
???? (bhej?),Sent (bhej?)
????? (ban?te),Make (ban?te)
???? (nare?),King (nare?)
?? (do),Two (do)
???? (cor?),Theft (cor?)
???????? (citrak?r),Painter (citrak?r)
??? (kahe),Says (kahe)
????????? (svatantra),Free (svatantra)
???? (s?raj),Sun (s?raj)
??????? (s?k?ma),Micro (s?k?ma)
??????? (vi?e?t?),Specialty (vi?e?t?)
??? (likh),Write (likh)
??? (m?s),Mass (m?s)
?????? (pañc?yat),Panchayat (pañc?yat)
??? (cara?),Step (cara?)
??? (gal?),Alley (gal?)
???? (khule),Open (khule)
?????? (kurs?),Chair (kurs?)
??????? (sandarbh),References (sandarbh)
??????? (strot),Source (strot)
???????? (varg?kra?),Classification (varg?kra?)
??????? (mah?bh?rat),Mahabharata (mah?bh?rat)
??? (phail),Spread (phail)
??? (pe?),Present (pe?)
???????????? (praudyogik?),Technology (praudyogik?)
????? (pur??),Purana (pur??)
???????? (nirdh?ra?),Determination (nirdh?ra?)
??? (c?n),China (c?n)
?????? (?ik?yat),Complaint (?ik?yat)
???????? (vidy?lay),School (vidy?lay)
??????? (vastuta?),Virtually (vastuta?)
???? (l?y?),Brought (l?y?)
??? (bahan),Sister (Bahan)
????? (pak??),Birds (pak??)
??????? (niry?t),Export (niry?t)
?? (n?),No (n?)
???? (j?ye),Let (j?ye)
????? (jyõ),As (jyõ)
????? (cakkar),Dizziness (cakkar)
???? (gol?),Tablet (gol?)
?????? (kaly??),Welfare (kaly??)
????? (krodh),Anger (krodh)
????? (kar?y?),Made (kar?y?)
???? (i?k?),Inca (i?k?)
???? (s?dh?),Direct (s?dh?)
????? (sañc?r),Communication (sañc?r)
??????? (viruddh),Against (viruddh)
????????? (vidv?nõ),Scholars (vidv?nõ)
????? (lambe),Long (Lambe)
?????? (bhugt?n),Payment (bhugt?n)
???? (tujhe),You (tujhe)
??? (cayan),Select (cayan)
????? (gho?e),Horses (gho?e)
??????? (ucc?ra?),Pronounced (ucc?ra?)
???? (sone),Gold (sone)
???? (mauk?),Chance (mauk?)
???? (mo?e),Coarse (mo?e)
???? (bh??a?),Speech (bh??a?)
????? (nikl?),Out (nikl?)
??????? (devt?õ),Gods (devt?õ)
???????? (utpatti),Genesis (utpatti)
???? (?ahr?),Urban (?ahr?)
????? (?akti),Power (?akti)
?????????? (r???rapti),President (r???rapti)
?????? (mah?r?j),Chef (mah?r?j)
?????? (mandir),Temple (Mandir)
?????? (indra),Indra (Indra)
???????? (apek?it),Wanted (apek?it)
??????? (antargat),Under (antargat)
???? (aj?b),Strange (aj?b)
??????? (sansk?r),Rite (sansk?r)
?????? (sam?dh?n),Solutions (sam?dh?n)
??? (??l),Colic (??l)
???? (likhe),Written (likhe)
????? (raheg?),Will (raheg?)
???? (rame?),Ramesh (rame?)
??? (ja?),Root (ja?)
????? (adhigam),Learning (adhigam)
???????? (sarv?dhik),Most (sarv?dhik)
????? (m?nt?),Considers (m?nt?)
??????? (mantr?),Minister (mantr?)
???? (b??h),Flood (b??h)
??? (baja?),Budget (baja?)
?????? (nuks?n),Loss (nuks?n)
????? (tho?e),Kinda (tho?e)
??? (j?l),Trap (j?l)
????? (j?nne),Knowing (j?nne)
?????? (kampan?),Company (kampan?)
???? (kak?),Room (kak?)
??????? (upkar?õ),Devices (upkar?õ)
??????? (utpanna),Generated (utpanna)
???? (u?hkar),Rise (u?hkar)
???? (isko),It (isko)
????????? (s?mr?jya),Empire (s?mr?jya)
?????? (san?odhan),Amendment (san?odhan)
?????? (r?j?õ),Kings (r?j?õ)
????? (pasand),Like (Pasand)
??????? (ch?trõ),Students (ch?trõ)
???? (gahr?),Brown (gahr?)
????????? (kilogr?m),KG (kilogr?m)
????? (k?lej),College (k?lej)
????????? (ullekhn?ya),The (ullekhn?ya)
??????? (uplabdhi),Availability (uplabdhi)
?????? (uts?h),Enthusiasm (uts?h)
????? (majd?r),Workers (majd?r)
????????? (pr?rthan?),Prayer (pr?rthan?)
??????? (chi?k?v),Spraying (chi?k?v)
?????? (samud?y),Community (samud?y)
??? (?oth),Inflammation (?oth)
????? (lorik),Lorik (Lorik)
????? (bauddh),Buddhist (bauddh)
??? (b?g),Orchard (b?g)
??? (bac?),Save (bac?)
?????? (pah???),Hill (pah???)
?????????? (prots?han),Incentive (prots?han)
????? (prabal),Strong (prabal)
???????? (pad?rthõ),Substances (pad?rthõ)
????? (p?ñj?),Capital (p?ñj?)
??? (jagat),World (Jagat)
??? (ghol),Solution (ghol)
???? (ekt?),Unity (ekt?)
????? (socne),Think (socne)
????????? (s?m?nyata?),Generally (s?m?nyata?)
?????????? (svatantrat?),Freedom (svatantrat?)
??????? (vitt?ya),Financial (vitt?ya)
????? (m?nkar),Assuming (m?nkar)
????? (bhautik),Physical (bhautik)
????????? (p??hyakram),Course (p??hyakram)
???????????? (pari??masvar?p),As a result (pari??masvar?p)
????? (parvat),Mountain (parvat)
???? (tal??),Wanted (tal??)
??? (god),Baby (god)
??????? (g?ndh?j?),Gandhi (g?ndh?j?)
?? (k?),The (k?)
??????????????? (antarr???r?ya),International (antarr???r?ya)
??? (sahan),Bear (Sahan)
??? (?er),Lion (?er)
???? (vais?),So (vais?)
?????? (vastra),Clothing (Vastra)
??????? (lak?m?),Lakshmi (lak?m?)
??? (r?k),Rook (r?k)
?????? (mukti),Liberation (mukti)
??????? (pro??n),Protein (pro??n)
???? (calkar),Later (calkar)
????? (gambh?r),Severe (gambh?r)
??? (?dh?),Half (?dh?)
???? (a?kan),Marking (a?kan)
????? (hind?),Hindi (hind?)
????? (??nt),Quiet (??nt)
????? (??nti),Peace (??nti)
?????? (vargõ),Sections (vargõ)
??????? (v?k?õ),Trees (v?k?õ)
????? (rogõ),Diseases (rogõ)
????? (bamba?),Bombay (bamba?)
????? (prath?),Practice (prath?)
????? (c?jõ),Things (c?jõ)
???? (ataev),Therefore (ataev)
???? (sakt?),Can (sakt?)
??????? (mahil?õ),Women (mahil?õ)
????? (b?hya),External (b?hya)
??????? (prerit),Driven (prerit)
????? (nihit),Contained (nihit)
?????? (dikh?y?),Shown (dikh?y?)
????? (??lne),Insert (??lne)
???? (?e?h),Half (?e?h)
??? (gair),Non (Gair)
???????? (sampatti),Property (sampatti)
??????? (?raddh?),Shraddha (?raddh?)
?????? (v?rt?),Dialogue (v?rt?)
?????? (la?kõ),Boys (la?kõ)
????? (m?nne),Accept (m?nne)
??? (mujh),Me (Mujh)
??? (namak),Salt (Namak)
??? (chavi),Image (chavi)
???? (c?c?),Uncle (c?c?)
??? (calo),Let (Calo)
????? (kareg?),Will (kareg?)
?????? (him?cal),HP (him?cal)
?????? (smit?),Smita (smit?)
???? (sthal),Site (Sthal)
???? (rakht?),Holds (rakht?)
??? (rakam),Amount (rakam)
??????? (pahuñcne),Access (pahuñcne)
???? (n?n?),Nana (n?n?)
?????? (darv?j?),Door (darv?j?)
????? (duk?n),Shop (duk?n)
??? (?hos),Solid (?hos)
??? (jeb),Pocket (Jeb)
?????? (cintan),Thinking (cintan)
????? (garm?),Heat (garm?)
???? (khar?d),Buying (khar?d)
??????? (kr?nti),Revolution (kr?nti)
??? (?tu),Season (?tu)
????? (sun??),Narrated (sun??)
?????????? (vidy?lyõ),Schools (vidy?lyõ)
????? (likhne),Write (likhne)
???? (lakhna?),Lucknow (lakhna?)
??? (r?g),Melody (r?g)
??? (baras),Year (Baras)
???? (braj),Brij (Braj)
?????? (pa?c?t),After (pa?c?t)
???? (??l?),Cast (??l?)
??? (g?h),Home (g?h)
????? (ak?l?),SAD (ak?l?)
??????? (s?vdh?n?),Caution (s?vdh?n?)
???? (sevan),Intake (Sevan)
??????????? (svatantrat?),Independence (svatantrat?)
????? (??nya),Zero (??nya)
????????????? (vidy?rthiyõ),Students (vidy?rthiyõ)
???? (mo??),Thick (mo??)
?????????? (bhra???c?r),Corruption (bhra???c?r)
??? (deh),Body (deh)
???? (tere),You (Tere)
???????? (k?rrav??),Action (k?rrav??)
????????? (k?ryav?h?),Proceedings (k?ryav?h?)
?????? (isl?m),Islam (isl?m)
????? (??ram),Hermitage (??ram)
?????? (?kar?a?),Attractions (?kar?a?)
?????? (hisse),Part (hisse)
?????? (samr??),Emperor (samr??)
?????? (pare??n),Upset (pare??n)
????????? (parampar?gat),Conventional (parampar?gat)
??????? (disambar),December (disambar)
???????? (jansa?khy?),Population (jansa?khy?)
????? (gho?it),Declared (gho?it)
??? (??i),Sage (??i)
????? (akhb?r),Newspaper (akhb?r)
????? (r?põ),Forms (r?põ)
???? (bhasma),Consumed (bhasma)
??? (bagal),Next (bagal)
????????? (paristhiti),Situation (paristhiti)
???? (nigam),Corporation (Nigam)
?????? (n?r?ya?),Narayan (n?r?ya?)
????? (turant),Immediately (turant)
???? (?hol?),Dhola (?hol?)
????? (??lkar),Mix (??lkar)
???? (c?val),Rice (c?val)
???? (ga?e?),Ganesh (ga?e?)
??????????? (k?ryakramõ),Programs (k?ryakramõ)
??? (u?h?),Arose (u?h?)
????? (??var),God (??var)
???????? (?ta?kv?d?),Terrorist (?ta?kv?d?)
??? (??kh),Eye (?kh)
????? (ad?lat),Court (ad?lat)
???? (ho?al),Hotels (ho?al)
??? (h?r),Necklace (h?r)
?????? (haj?rõ),Thousands (haj?rõ)
????? (sandeh),Doubt (sandeh)
????????? (sa?k?ipt),Brief (sa?k?ipt)
??????? (vidv?n),Scholar (vidv?n)
???? (vrat),Fast (vrat)
????? (mahatva),Importance (mahatva)
????? (bhaya?kar),Fierce (bhaya?kar)
????? (behtar),Better (behtar)
??????? (bri?i?),British (bri?i?)
????? (priy),Dear (priy)
??????? (niyukt),Appointed (niyukt)
?????? (gambh?r),Serious (gambh?r)
???? (ukt),The (ukt)
??? (amal),Amal (Amal)
???? (hav??),Airport (hav??)
??? (hare),Green (hare)
??????????? (svar?amandir),Golden (svar?amandir)
?? (l?),Lee (l?)
????? (m?ml?),Case (m?ml?)
???? (machl?),Fish (machl?)
???? (bacpan),Childhood (bacpan)
?????? (bai?kõ),Banks (bai?kõ)
??? (p?n),Pan (p?n)
????? (pr??),Prana (pr??)
??????????? (pratikriy?),Response (pratikriy?)
?????? (j?v??u),Bacteria (j?v??u)
???? (ch?t?),Chest (ch?t?)
?????? (ga?hv?l),Garhwal (ga?hv?l)
???? (khul?),Open (khul?)
??? (k?r),Car (k?r)
???????? (kriy?õ),Actions (kriy?õ)
????? (amm?),Amma (amm?)
????? (a?gõ),Organs (a?gõ)
?????? (sandeh),Of course (sandeh)
????? (viv?d),Disputes (viv?d)
???????? (la?kiyõ),Girls (la?kiyõ)
????? (b?hr?),External (b?hr?)
???? (b?r?),Turn (b?r?)
????? (pleg),Plague (pleg)
????? (puru?),Men (puru?)
????? (dophar),Noon (dophar)
???? (tamil),Tamil (Tamil)
????? (caudhr?),Chaudhary (caudhr?)
???? (?cra?),Practices (?cra?)
???? (an?j),Cereals (an?j)
?? (h?),Nor (h?)
???? (sire),Ends (sire)
????? (s??he),½ (s??he)
????? (sãyog),Incidentally (sãyog)
?????? (vimar?),Exchanged (vimar?)
??????? (vidhiyõ),Methods (vidhiyõ)
?????????? (vy?vh?rik),Practical (vy?vh?rik)
??? (vacan),Word (vacan)
?????? (r?tri),Night (r?tri)
????? (bh?võ),Prices (bh?võ)
???? (bhe??),Visit (bhe??)
???? (bu??),Sowing (bu??)
????? (pairõ),Feet (pairõ)
?????? (pur?n?),Old (pur?n?)
????????? (prat?k??),Wait (prat?k??)
?????? (patrõ),Papers (patrõ)
?????? (pa?eg?),Will (pa?eg?)
??? (j?o),Go (j?o)
??????? (kismõ),Varieties (kismõ)
??? (kin),Qin (Kin)
??? (u?he),Rose (u?he)
?????? (?c?rya),Acharya (?c?rya)
?? (??),I (??)
??????? (aphr?k?),Africa (aphr?k?)
???? (at?t),Past (at?t)
????? (halke),Lightweight (halke)
???? (s?gar),Sea (s?gar)
??? (??h),Shah (??h)
?????? (??nti),Consoles (??nti)
????? (vide?),Foreign (vide?)
??? (vajan),Weight (vajan)
????? (l?khõ),Millions (l?khõ)
??????? (pr?rambh),Start (pr?rambh)
????????? (pr??iyõ),Beings (pr??iyõ)
??????? (nirde?),Instructions (nirde?)
???? (d?v?),Claim (d?v?)
?? (de),Safety (de)
???? (c?h?),Wills (c?h?)
???? (ud?s),Blues (ud?s)
?????? (uttar?),North (uttar?)
???? (asl?),Real (asl?)
?????? (himmat),Dare (himmat)
??? (har?),Green (har?)
????? (sneh),Affection (Sneh)
???? (??sak),Ruler (??sak)
???? (badle),Change (badle)
????? (bac?ne),Save (bac?ne)
????????? (pratinidhi),Representative (pratinidhi)
????? (daraasal),Indeed (daraasal)
?????? (dekhbh?l),Care (dekhbh?l)
??? (tane),Stem (Tane)
????? (j?nt?),Know (j?nt?)
?????? (kendra),Center (Kendra)
???? (au?dhi),Pharmaceuticals (au?dhi)
????? (utsav),Festival (Utsav)
???? (inse),They (inse)
??????? (s?thiyõ),Peers (s?thiyõ)
?????? (sans?dhan),Resources (sans?dhan)
??? (sadan),House (Sadan)
???? (s?khe),Dried (s?khe)
?????? (sa?kalp),Resolution (sa?kalp)
????????? (?akti??l?),Powerful (?akti??l?)
?????? (vyarth),Vain (vyarth)
?????? (mi?ra?),Mix (mi?ra?)
????? (boron),Boron (boron)
??????? (nik?lne),Extract (nik?lne)
??? (gh?m),Roaming (gh?m)
?????? (guss?),Angry (guss?)
????? (k?ati),Damage (k?ati)
???? (u?ht?),Rising (u?ht?)
??? (arab),Arab (Arab)
?????? (atyant),Extremely (atyant)
????? (ak?ar),Letter (ak?ar)
????????? (sansth?nõ),Institutions (sansth?nõ)
???? (supar),Super (supar)
??????? (sa?ga?hnõ),Organizations (sa?ga?hnõ)
??????? (vi?e?kar),Especially (vi?e?kar)
??? (ved),Veda (ved)
??????? (mah?r?j?),Maharaja (mah?r?j?)
??? (bharat),Bharat (Bharat)
??? (bojh),Load (bojh)
???? (b?dal),Cloud (b?dal)
???? (bay?n),Statement (bay?n)
???????? (pattiy??),Leaves (pattiy?)
??? (ca?h),Up (ca?h)
?????? (umm?d),Hope (umm?d)
??????? (upek??),Ignore (upek??)
??????????? (siddh?ntõ),Principles (siddh?ntõ)
??? (sva),Self (sva)
????? (sunte),Hear (sunte)
???? (sakte),Can (Sakte)
???? (raba?),Rubber (raba?)
??? (mel),Mail (mel)
????? (mekaap),Makeup (mekaap)
??? (bh?t),Ghost (bh?t)
???? (bante),Formed (bante)
??????? (pra?ans?),Appreciation (pra?ans?)
???????? (pratidin),Per day (pratidin)
??? (p?ch),Ask (p?ch)
???? (dab?v),Pressure (dab?v)
???? (da??),Punishment (da??)
?????? (?uk?e),Pieces (?uk?e)
????? (gahr??),Depth (gahr??)
???? (kh??c),Stretching (kh?c)
?????? (urvarak),Fertilizer (urvarak)
????? (hins?),Violence (hins?)
????? (s?dhn?),Silence (s?dhn?)
?????? (sev?õ),Services (sev?õ)
?????? (sarvath?),Downright (sarvath?)
???? (lekhan),Writing (lekhan)
??????? (pare??n?),Trouble (pare??n?)
?????? (prat?p),Pratap (prat?p)
?????? (pe?õ),Trees (pe?õ)
?????? (ce???),Try (ce???)
??????? (vy?kra?),Grammar (vy?kra?)
??????? (l?isens),License (l?isens)
???? (lalit),Fine (Lalit)
??? (r?s),Russia (r?s)
??? (m?l),Miles (m?l)
???? (barph),Snow (barph)
??? (p?p),Sin (p?p)
?????? (putr?),Daughter (putr?)
????? (daphtar),Office (daphtar)
????? (j?nvar),Animals (j?nvar)
???? (g?ne),Music (g?ne)
?????????? (k?ryakart?),Worker (k?ryakart?)
???????? (kal?k?rõ),Artists (kal?k?rõ)
???? (kart?),Does (kart?)
?????? (utp?d),Products (utp?d)
??? (??),Arrive (??)
????? (socte),Think (socte)
??? (s?kh),Learn (s?kh)
??? (s?s),SaaS (s?s)
???? (v???),Harp (v???)
???????? (y?reniyam),Uranium (y?reniyam)
????? (maulik),Elemental (Maulik)
????? (m?rne),Kill (m?rne)
??????? (muhammad),Muhammad (Muhammad)
??? (bil),Bill (bil)
??? (bacat),Savings (bacat)
